,Movie,Netflix Result,404,URL
192,American Circumcision,Found,YES,https://www.netflix.com/title/81000861
218,A Night at the Roxbury,Found,YES,https://www.netflix.com/ca/title/18066997
241,A Perfect Man,Found,YES,https://www.netflix.com/ca/title/70028891
253,Are We Done,Found,YES,https://www.netflix.com/gb/title/70058008
298,Austin Powers in Goldmember,Found,YES,https://www.netflix.com/ch-en/title/60023608
299,Austin Powers: International Man of Mystery,Found,YES,https://www.netflix.com/au/title/1153656
435,Betting on Zero,Found,YES,https://www.netflix.com/title/80108609?s=i&trkid=13747225
555,Bucket List,Found,YES,https://www.netflix.com/in/title/70077542
564,Burlesque: Heart of the Glitter Tribe,Found,YES,https://www.netflix.com/nl-en/TITLE/80173267
601,Carrie,Found,YES,https://www.netflix.com/be-en/title/70251537
614,Cave,Found,YES,https://www.netflix.com/ca/title/70028905
651,Chingo Bling: They Can't Deport Us All,Found,YES,https://www.netflix.com/to/title/80139214
669,Chronicle of an Escape,Found,YES,https://www.netflix.com/title/70074315
713,Concussion,Found,YES,https://www.netflix.com/ca/title/80064511
724,Corpse Bride,Found,YES,https://www.netflix.com/title/70032593
747,Cutie and the Boxer,Found,YES,https://www.netflix.com/title/70267830
826,Devil's Bride,Found,YES,https://www.netflix.com/ve-en/title/80106038
856,Domino,Found,YES,https://www.netflix.com/de-en/title/70028901
868,DragonHeart,Found,YES,https://www.netflix.com/title/80176756
871,Dragonheart: Battle for the Heartfire,Found,YES,https://www.netflix.com/title/80176756
940,Emma',Found,YES,https://www.netflix.com/gb/title/70275589
973,Eye for an Eye,Found,YES,https://www.netflix.com/title/60022413
1005,Final Destination,Found,YES,https://www.netflix.com/jp-en/title/70113006
1006,Final Destination 2,Found,YES,https://www.netflix.com/kr-en/title/60026114
1007,Final Destination 3,Found,YES,https://www.netflix.com/eg-en/title/70042687
1034,Forever Pure,Found,YES,https://www.netflix.com/hr/title/80148223
1137,God of War,Found,YES,https://www.netflix.com/title/80145625
1219,Havenhurst,Found,YES,https://www.netflix.com/ca/TITle/80132601
1252,Highly Strung,Found,YES,https://www.netflix.com/at-en/title/80098201
1276,Homeland,Found,YES,https://www.netflix.com/ca/title/70180387
1323,Hypersomnia,Found,YES,https://www.netflix.com/gb/title/80159025
1352,Iliza Shlesinger: War Paint,Found,YES,https://www.netflix.com/title/70278877
1359,Imagine That,Found,YES,https://www.netflix.com/title/70103762
1412,I See You,Found,YES,https://www.netflix.com/th-en/title/81059545
1508,Jonah,Found,YES,https://www.netflix.com/ca/title/60024907
1595,Kicking and Screaming,Found,YES,https://www.netflix.com/bw/title/70021635
1637,Kung Fu Panda 2,Found,YES,https://www.netflix.com/at-en/title/70126574
1638,Kung Fu Panda Holiday,Found,YES,https://www.netflix.com/ro-en/title/70253397
1648,La Bamba,Found,YES,https://www.netflix.com/be-en/title/281550
1698,Let There Be Light,Found,YES,https://www.netflix.com/ca/title/80206761
1743,Long Shot,Found,YES,https://www.netflix.com/gb/title/81192826
1748,Looney Tunes: Back in Action,Found,YES,https://www.netflix.com/ad-en/title/60031259
1774,Lovely Complex,Found,YES,https://www.netflix.com/jp-en/title/80184630
1783,Loving,Found,YES,https://www.netflix.com/uy-en/title/80099974
1820,Magnolia,Found,YES,https://www.netflix.com/title/60000440
1985,Moon,Found,YES,https://www.netflix.com/pl-en/title/70112500
1994,Mother,Found,YES,https://www.netflix.com/es-en/title/26268034
2045,My Girl,Found,YES,https://www.netflix.com/ca/title/786137
2059,Mystic River,Found,YES,https://www.netflix.com/in/title/60031232
2068,My Wife and My Wifey,Found,YES,https://www.netflix.com/title/81035850
2134,No Place Like Home,Found,YES,https://www.netflix.com/it-en/title/81002574
2208,Outbreak,Found,YES,https://www.netflix.com/gb/title/834585
2324,Professor,Found,YES,https://www.netflix.com/nl-en/title/81123017
2393,Red Dawn,Found,YES,https://www.netflix.com/at-en/title/70127225
2441,Road to Perdition,Found,YES,https://www.netflix.com/kr-en/title/60023600
2652,S Is for Stanley,Found,YES,https://www.netflix.com/title/80172284
2659,Skin Trade,Found,YES,https://www.netflix.com/title/80039602
2760,Suite Française,Found,YES,https://www.netflix.com/title/80042309
2761,Sukhi Sansarachi 12 Sutre,Found,YES,https://www.netflix.com/mu/title/80202909
2818,Te3n,Found,YES,https://www.netflix.com/title/80113673
2840,The 100 Years Show,Found,YES,https://www.netflix.com/title/80106609
